年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),中國大陸出口量(公噸),中國大陸出口值(千美元),中國大陸進口量(公噸),中國大陸進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),中國大陸GDP per capita (current US$),"中國大陸Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,泰國關稅,南韓關稅,哥斯大黎加關稅,澳洲關稅,台灣-中國大陸出口值(千美元),台灣對中國大陸的距離
1961,40000,-,-, - , - , - , - , - ,-,-,-,-,-,-,-,-,-,-,-,-
1962,45000,-,-, - , - , - , - , - ,-,-,-,-,-,-,-,-,-,-,-,-
1963,48000,-,-, - , - , - , - , - ,-,-,-,-,-,-,-,-,-,-,-,-
1964,50000,-,-, - , - , - , - , - ,-,-,-,-,-,-,-,-,-,-,-,-
1965,50000,-,-, - , - , - , - , - ,-,-,-,-,-,-,-,-,-,-,-,-
1966,50000,-,-, - , - , - , - , - ,-,-,-,-,-,-,-,-,-,-,-,-
1967,52000,-,-, - , - , - , - , - ,-,97,754550000,-,-,-,-,-,-,-,-,-
1968,53000,-,-, - , - , - , - , - ,-,91,774510000,-,-,-,-,-,-,-,-,-
1969,55000,-,-, - , - , - , - , - ,-,100,796025000,-,-,-,-,-,-,-,-,-
1970,57000,-,-, - , - , - , - , - ,-,113,818315000,-,-,-,-,-,-,-,-,-
1971,59000,-,-, - , - , - , - , - ,-,119,841105000,-,-,-,-,-,-,-,-,-
1972,60000,-,-, - , - , - , - , - ,-,132,862030000,-,-,-,-,-,-,-,-,-
1973,62000,-,-, - , - , - , - , - ,-,157,881940000,-,-,-,-,-,-,-,-,-
1974,64000,-,-, - , - , - , - , - ,-,160,900350000,-,-,-,-,-,-,-,-,-
1975,66000,-,-, - , - , - , - , - ,-,178,916395000,-,-,-,-,-,-,-,-,-
1976,78000,-,-, - , - , - , - , - ,-,165,930685000,-,-,-,-,-,-,-,-,-
