年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),巴林出口量(公噸),巴林出口值(千美元),巴林進口量(公噸),巴林進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),巴林GDP per capita (current US$),"巴林Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,印度關稅,巴拿馬關稅,斯里蘭卡關稅,迦納關稅,台灣-巴林出口值(千美元),台灣對巴林的距離
1961,-,-, - , - , - , - , - , - ,-,-,167894,-,-,-,-,-,-,-,-,-
1962,-,-, - , - , - , - , - , - ,-,-,173144,-,-,-,-,-,-,-,-,-
1963,-,-, - , - , - , - , - , - ,-,-,178140,-,-,-,-,-,-,-,-,-
1964,-,-, - , - , - , - , - , - ,-,-,182887,-,-,-,-,-,-,-,-,-
1965,-,-, - , - , - , - , - , - ,-,-,187431,-,-,-,-,-,-,-,-,-
1966,-,-, - , - , - , - , - , - ,-,-,191780,-,-,-,-,-,-,-,-,-
1967,-,-, - , - , - , - , - , - ,-,-,196063,-,-,-,-,-,-,-,-,-
1968,-,-, - , - , - , - , - , - ,-,-,200653,-,-,-,-,-,-,-,-,-
1969,-,-, - , - , - , - , - , - ,-,-,206043,-,-,-,-,-,-,-,-,-
1970,-,-, - , - , - , - , - , - ,-,-,212605,-,-,-,-,-,-,-,-,-
1971,-,-, - , - , - , - , - , - ,-,-,220312,-,-,-,-,-,-,-,-,-
1972,-,-, - , - , - , - , - , - ,-,-,229155,-,-,-,-,-,-,-,-,-
1973,-,-, - , - , - , - , - , - ,-,-,239527,-,-,-,-,-,-,-,-,-
1974,-,-, - , - , - , - , - , - ,-,-,251911,-,-,-,-,-,-,-,-,-
1975,-,-, - , - , - , - , - , - ,-,-,266543,-,-,-,-,-,-,-,-,-
1976,-,-, - , - , - , - , - , - ,-,-,283752,-,-,-,-,-,-,-,-,-
1977,-,-, - , - , - , - , - , - ,-,-,303175,-,-,-,-,-,-,-,-,-
1978,-,-, - , - , - , - , - , - ,-,-,323473,-,-,-,-,-,-,-,-,-
1979,-,-, - , - , - , - , - , - ,-,-,342798,-,-,-,-,-,-,-,-,-
1980,-,-, - , - , - , - , - , - ,-,8537.929379,359888,-,-,-,-,-,-,-,-,-
1981,-,-, - , - , - , - , - , - ,-,9269.269617,374120,-,-,-,-,-,-,-,-,-
1982,-,-, - , - , - , - , - , - ,-,9446.158002,385950,-,-,-,-,-,-,-,-,-
1983,-,-, - , - , - , - , - , - ,-,9421.285655,396454,-,-,-,-,-,-,-,-,-
1984,-,-, - , - , - , - , - , - ,-,9590.683099,407227,-,-,-,-,-,-,-,-,-
1985,-,-, - , - , - , - , - , - ,-,8706.725084,419430,-,-,-,-,-,-,-,-,-
1986,-,-, - , - , - , - , - , - ,-,7041.56947,433482,-,-,-,-,-,-,-,-,-
1987,-,-, - , - , - , - , - , - ,-,7555.066809,448973,-,-,-,-,-,-,-,-,-
1988,-,-, - , - , - , - , - , - ,-,7958.679492,465202,-,-,-,-,-,-,-,-,-
1989,-,-, - , - , - , - , - , - ,-,8030.85458,481090,-,-,-,-,-,-,-,-,-
1990,-,-, - , - , - , - , - , - ,-,8528.983334,495931,-,-,-,-,-,-,-,-,-
1991,-,-, - , - , - , - , - , - ,-,9055.591114,509765,-,-,-,-,-,-,-,-,-
1992,-,-, - , - , - , - , - , - ,-,9082.741169,523087,-,-,-,-,-,-,-,-,-
1993,-,-, - , - , - , - , - , - ,-,9698.134804,536213,-,-,-,-,-,-,-,-,-
1994,-,-, - , - , - , - , - , - ,-,10130.413068,549588,-,-,-,-,-,-,-,-,-
1995,-,-, - , - , - , - , - , - ,-,10376.934888,563699,-,-,-,-,-,-,-,-,-
1996,-,-, - , - , - , - , - , - ,-,10544.667125,578668,-,-,-,-,-,-,-,-,-
1997,-,-, - , - , - , - , - , - ,-,10672.183944,594930,-,-,-,-,-,-,-,-,-
1998,-,-, - , - , - , - , - , - ,-,10076.187785,613702,-,-,-,-,-,-,-,-,-
1999,-,-, - , - , - , - , - , - ,-,10401.480449,636545,-,-,-,-,-,-,-,-,-
2000,-,-, - , - , - , - , - , - ,-,13636.346684,664614,-,-,-,-,-,-,-,-,-
2001,-,-,1,1,303,150,730617,1161837,523322,12868.210997,697549,860,-,-,-,-,-,-,0,-
2002,-,-,1,1,125,82,918224,1320366,644176,13102.334568,735148,378,-,-,-,-,-,-,0,-
2003,-,-,0,0,42,21,1176071,1455636,811520,14221.992593,778711,788,-,-,-,-,-,-,0,-
2004,-,-,7,4,303,185,1372314,1713517,983929,15846.476409,829848,970,-,-,-,-,-,-,0,-
2005,-,-,12,3,410,323,1505646,1954169,1143160,17959.178537,889168,1097,-,-,-,-,-,-,0,-
