年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),新加坡出口量(公噸),新加坡出口值(千美元),新加坡進口量(公噸),新加坡進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),新加坡GDP per capita (current US$),"新加坡Population, total",台灣出口值(千美元),台灣關稅,馬來西亞關稅,菲律賓關稅,泰國關稅,澳洲關稅,紐西蘭關稅,台灣-新加坡出口值(千美元),台灣對新加坡的距離
1961,-,-,-, - , - , - , - , - ,-,448.959184,1702400,-,-,-,-,-,-,-,-,-
1962,-,-,-, - , - , - , - , - ,-,471.880513,1750200,-,-,-,-,-,-,-,-,-
1963,-,-,-, - , - , - , - , - ,-,510.987189,1795000,-,-,-,-,-,-,-,-,-
1964,-,-,-, - , - , - , - , - ,-,485.30326,1841600,-,-,-,-,-,-,-,-,-
1965,-,-,-, - , - , - , - , - ,-,516.292929,1886900,-,-,-,-,-,-,-,-,-
1966,-,-,-, - , - , - , - , - ,-,566.53748,1934400,-,-,-,-,-,-,-,-,-
1967,-,-,-, - , - , - , - , - ,-,625.719677,1977600,-,-,-,-,-,-,-,-,-
1968,-,-,-, - , - , - , - , - ,-,708.265109,2012000,-,-,-,-,-,-,-,-,-
1969,-,-,-, - , - , - , - , - ,-,812.266963,2042500,-,-,-,-,-,-,-,-,-
1970,-,-,-, - , - , - , - , - ,-,925.287389,2074500,-,-,-,-,-,-,-,-,-
1971,-,-,-, - , - , - , - , - ,-,1070.824033,2112900,-,-,-,-,-,-,-,-,-
1972,-,-,-, - , - , - , - , - ,-,1263.659334,2152400,-,-,-,-,-,-,-,-,-
1973,-,-,-, - , - , - , - , - ,-,1684.341085,2193000,-,-,-,-,-,-,-,-,-
1974,-,-,-, - , - , - , - , - ,-,2339.570287,2229800,-,-,-,-,-,-,-,-,-
1975,-,-,-, - , - , - , - , - ,-,2489.784619,2262600,-,-,-,-,-,-,-,-,-
1976,-,-,-, - , - , - , - , - ,-,2758.664549,2293300,-,-,-,-,-,-,-,-,-
1977,-,-,-, - , - , - , - , - ,-,2845.883449,2325300,-,-,-,-,-,-,-,-,-
1978,-,-,-, - , - , - , - , - ,-,3193.330882,2353600,-,-,-,-,-,-,-,-,-
1979,-,-,-, - , - , - , - , - ,-,3899.574157,2383500,-,-,-,-,-,-,-,-,-
1980,-,-,-, - , - , - , - , - ,-,4926.958023,2413945,-,-,-,-,-,-,-,-,-
1981,-,-,-, - , - , - , - , - ,-,5595.239935,2532835,-,-,-,-,-,-,-,-,-
1982,-,-,-, - , - , - , - , - ,-,6075.595318,2646466,-,-,-,-,-,-,-,-,-
1983,-,-,-, - , - , - , - , - ,-,6629.942539,2681061,-,-,-,-,-,-,-,-,-
1984,-,-,-, - , - , - , - , - ,-,7223.398287,2732221,-,-,-,-,-,-,-,-,-
1985,-,-,-, - , - , - , - , - ,-,6995.101303,2735957,-,-,-,-,-,-,-,-,-
1986,-,-,-, - , - , - , - , - ,-,6793.544937,2733373,-,-,-,-,-,-,-,-,-
1987,-,-,-, - , - , - , - , - ,-,7531.250196,2774789,-,-,-,-,-,-,-,-,-
1988,-,-,-, - , - , - , - , - ,-,8902.412337,2846108,-,-,-,-,-,-,-,-,-
1989,-,-,-, - , - , - , - , - ,-,10380.280276,2930901,-,-,-,-,-,-,-,-,-
1990,-,-,-, - , - , - , - , - ,-,11864.280213,3047132,-,-,-,-,-,-,-,-,-
1991,-,-,-, - , - , - , - , - ,-,14505.020389,3135083,-,-,-,-,-,-,-,-,-
1992,-,-,-, - , - , - , - , - ,-,16144.008192,3230698,-,-,-,-,-,-,-,-,-
1993,-,-,-, - , - , - , - , - ,-,18302.430396,3313471,-,-,-,-,-,-,-,-,-
1994,-,-,-, - , - , - , - , - ,-,21578.460533,3419048,-,-,-,-,-,-,-,-,-
1995,-,-,-, - , - , - , - , - ,-,24936.830829,3524506,-,-,-,-,-,-,-,-,-
1996,-,-,-, - , - , - , - , - ,-,26263.016268,3670704,-,-,-,-,-,-,-,-,-
1997,-,-,-, - , - , - , - , - ,-,26386.457446,3796038,-,-,-,-,-,-,-,-,-
1998,-,-,-, - , - , - , - , - ,-,21824.035578,3927213,-,-,-,-,-,-,-,-,-
1999,-,-,-, - , - , - , - , - ,-,21795.696957,3958723,-,-,-,-,-,-,-,-,-
2000,-,-,-, - , - , - , - , - ,-,23792.60707,4027887,-,-,-,-,-,-,-,-,-
2001,-,-,140,37,19410,3579,730617,1161837,523322,21577.078227,4138012,860,-,-,-,-,-,-,0,-
2002,-,-,335,86,19103,3691,918224,1320366,644176,22016.832792,4175950,378,-,-,-,-,-,-,1,-
2003,-,-,297,81,16582,3501,1176071,1455636,811520,23573.628039,4114826,788,-,-,-,-,-,-,4,-
2004,-,-,337,92,17211,4141,1372314,1713517,983929,27405.271355,4166664,970,-,-,-,-,-,-,13,-
2005,-,-,614,183,18762,4586,1505646,1954169,1143160,29869.853981,4265762,1097,-,-,-,-,-,-,0,-
2006,-,-,7,14,18589,4749,1875986,2297317,1325617,33579.859476,4401365,630,-,-,-,-,-,-,1,-
2007,-,-,163,57,18099,4723,2142214,2531499,1423936,39223.581875,4588599,579,-,-,-,-,-,-,25,-
2008,-,-,9,15,16595,4767,2326573,2412032,1542620,39721.048182,4839396,740,-,-,-,-,-,-,8,-
2009,-,-,7,10,16144,4742,2093817,2493947,1323182,38577.558216,4987573,1429,-,-,-,-,-,-,10,-
2010,-,-,7,16,15430,4972,2201958,2709938,1524182,46569.679506,5076732,2086,-,-,-,-,-,-,26,-
2011,-,-,7,13,16163,5667,2388527,2845406,1698474,53166.675806,5183688,2734,-,-,-,-,-,-,32,-
2012,-,-,8,14,17995,6148,2333459,2965645,1712281,54431.16199,5312437,3507,-,-,-,-,-,-,10,-
2013,-,-,16,28,20219,6947,2430625,3036505,1817576,56029.189142,5399162,4934,-,-,-,-,-,-,19,-
2014,-,-,23,38,22835,8249,2601581,3223667,1877026,56336.072341,5469724,9181,-,-,-,-,-,-,4,-
2015,-,-,61,53,22062,7441,2322571,2948556,1671253,53629.73746,5535002,26407,-,-,-,-,-,-,4,-
2016,-,-,22,32,22558,7910,2471803,-,1931378,52960.714189,5607283,38845,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,3259.671
2017,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
