年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),汶萊出口量(公噸),汶萊出口值(千美元),汶萊進口量(公噸),汶萊進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),汶萊GDP per capita (current US$),"汶萊Population, total",台灣出口值(千美元),台灣關稅,馬來西亞關稅,菲律賓關稅,新加坡關稅,澳洲關稅,中國關稅,台灣-汶萊出口值(千美元),台灣對汶萊的距離
1961,900,-, - , - , - , - , - , - ,-, - ,85596, - ,-,-,-,-,-,-,-,-
1962,1100,-, - , - , - , - , - , - ,-, - ,89516, - ,-,-,-,-,-,-,-,-
1963,1100,-, - , - , - , - , - , - ,-, - ,93576, - ,-,-,-,-,-,-,-,-
1964,1200,-, - , - , - , - , - , - ,-, - ,97848, - ,-,-,-,-,-,-,-,-
1965,1200,-, - , - , - , - , - , - ,-,1113.4,102425, - ,-,-,-,-,-,-,-,-
1966,1260,-, - , - , - , - , - , - ,-,1237.08,107316, - ,-,-,-,-,-,-,-,-
1967,1320,-, - , - , - , - , - , - ,-,1235.89,112494, - ,-,-,-,-,-,-,-,-
1968,1380,-, - , - , - , - , - , - ,-,1363.45,117950, - ,-,-,-,-,-,-,-,-
1969,1440,-, - , - , - , - , - , - ,-,1303.74,123653, - ,-,-,-,-,-,-,-,-
1970,1500,-, - , - , - , - , - , - ,-,1381.97,129583, - ,-,-,-,-,-,-,-,-
1971,1567,-, - , - , - , - , - , - ,-,1455.31,135726, - ,-,-,-,-,-,-,-,-
1972,1500,-, - , - , - , - , - , - ,-,1906.19,142073, - ,-,-,-,-,-,-,-,-
1973,1300,-, - , - , - , - , - , - ,-,2915.27,148560, - ,-,-,-,-,-,-,-,-
1974,1100,-, - , - , - , - , - , - ,-,6921.44,155109, - ,-,-,-,-,-,-,-,-
1975,1000,-, - , - , - , - , - , - ,-,7226.43,161671, - ,-,-,-,-,-,-,-,-
