年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),阿聯出口量(公噸),阿聯出口值(千美元),阿聯進口量(公噸),阿聯進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),阿聯GDP per capita (current US$),"阿聯Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,馬來西亞關稅,斯里蘭卡關稅,印度關稅,印尼關稅,台灣-阿聯出口值(千美元),台灣對阿聯的距離
1961,-,-, - , - , - , - , - , - ,-,-,101078,-,-,-,-,-,-,-,-,-
1962,-,-, - , - , - , - , - , - ,-,-,112472,-,-,-,-,-,-,-,-,-
1963,-,-, - , - , - , - , - , - ,-,-,125566,-,-,-,-,-,-,-,-,-
1964,-,-, - , - , - , - , - , - ,-,-,138529,-,-,-,-,-,-,-,-,-
1965,-,-, - , - , - , - , - , - ,-,-,150362,-,-,-,-,-,-,-,-,-
1966,-,-, - , - , - , - , - , - ,-,-,160481,-,-,-,-,-,-,-,-,-
1967,-,-, - , - , - , - , - , - ,-,-,170283,-,-,-,-,-,-,-,-,-
1968,-,-, - , - , - , - , - , - ,-,-,183194,-,-,-,-,-,-,-,-,-
1969,-,-, - , - , - , - , - , - ,-,-,203820,-,-,-,-,-,-,-,-,-
1970,-,-, - , - , - , - , - , - ,-,-,235499,-,-,-,-,-,-,-,-,-
1971,-,-, - , - , - , - , - , - ,-,-,278808,-,-,-,-,-,-,-,-,-
1972,-,-, - , - , - , - , - , - ,-,-,332760,-,-,-,-,-,-,-,-,-
1973,-,-, - , - , - , - , - , - ,-,-,397174,-,-,-,-,-,-,-,-,-
1974,-,-, - , - , - , - , - , - ,-,-,471364,-,-,-,-,-,-,-,-,-
1975,-,-, - , - , - , - , - , - ,-,26556.08003,554324,-,-,-,-,-,-,-,-,-
1976,-,-, - , - , - , - , - , - ,-,29698.16922,646943,-,-,-,-,-,-,-,-,-
1977,-,-, - , - , - , - , - , - ,-,33245.8361,748117,-,-,-,-,-,-,-,-,-
1978,-,-, - , - , - , - , - , - ,-,27897.32709,852262,-,-,-,-,-,-,-,-,-
1979,-,-, - , - , - , - , - , - ,-,32798.47823,952040,-,-,-,-,-,-,-,-,-
1980,-,-, - , - , - , - , - , - ,-,41825.99546,1042384,-,-,-,-,-,-,-,-,-
1981,-,-, - , - , - , - , - , - ,-,44012.33307,1120900,-,-,-,-,-,-,-,-,-
1982,-,-, - , - , - , - , - , - ,-,39193.74097,1189545,-,-,-,-,-,-,-,-,-
1983,-,-, - , - , - , - , - , - ,-,34159.03735,1253060,-,-,-,-,-,-,-,-,-
1984,-,-, - , - , - , - , - , - ,-,31709.25433,1318478,-,-,-,-,-,-,-,-,-
1985,-,-, - , - , - , - , - , - ,-,29189.16779,1391052,-,-,-,-,-,-,-,-,-
1986,-,-, - , - , - , - , - , - ,-,23056.10453,1472218,-,-,-,-,-,-,-,-,-
1987,-,-, - , - , - , - , - , - ,-,23312.92953,1560718,-,-,-,-,-,-,-,-,-
1988,-,-, - , - , - , - , - , - ,-,21907.59798,1655849,-,-,-,-,-,-,-,-,-
1989,-,-, - , - , - , - , - , - ,-,23612.7452,1756043,-,-,-,-,-,-,-,-,-
1990,-,-, - , - , - , - , - , - ,-,27256.29094,1860174,-,-,-,-,-,-,-,-,-
1991,-,-, - , - , - , - , - , - ,-,26168.26662,1970026,-,-,-,-,-,-,-,-,-
1992,-,-, - , - , - , - , - , - ,-,25993.55801,2086639,-,-,-,-,-,-,-,-,-
1993,-,-, - , - , - , - , - , - ,-,25199.34958,2207405,-,-,-,-,-,-,-,-,-
1994,-,-, - , - , - , - , - , - ,-,25467.19222,2328686,-,-,-,-,-,-,-,-,-
1995,-,-, - , - , - , - , - , - ,-,26847.08005,2448820,-,-,-,-,-,-,-,-,-
1996,-,-, - , - , - , - , - , - ,-,28615.58214,2571020,-,-,-,-,-,-,-,-,-
1997,-,-, - , - , - , - , - , - ,-,29199.52461,2700010,-,-,-,-,-,-,-,-,-
1998,-,-, - , - , - , - , - , - ,-,26663.3087,2838145,-,-,-,-,-,-,-,-,-
1999,-,-, - , - , - , - , - , - ,-,28260.00502,2988162,-,-,-,-,-,-,-,-,-
2000,-,-, - , - , - , - , - , - ,-,33071.26869,3154925,-,-,-,-,-,-,-,-,-
