年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),香港出口量(公噸),香港出口值(千美元),香港進口量(公噸),香港進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),香港GDP per capita (current US$),"香港Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,泰國關稅,日本關稅,中國關稅,哥斯大黎加關稅,台灣-香港出口值(千美元),台灣對香港的距離
1961,-,-, - , - , - , - , - , - ,-,436.75,3168100,-,-,-,-,-,-,-,-,-
1962,-,-, - , - , - , - , - , - ,-,487.82,3305200,-,-,-,-,-,-,-,-,-
1963,-,-, - , - , - , - , - , - ,-,565.73,3420900,-,-,-,-,-,-,-,-,-
1964,-,-, - , - , - , - , - , - ,-,629.59,3504600,-,-,-,-,-,-,-,-,-
1965,-,-, - , - , - , - , - , - ,-,676.81,3597900,-,-,-,-,-,-,-,-,-
1966,-,-, - , - , - , - , - , - ,-,685.93,3629900,-,-,-,-,-,-,-,-,-
1967,-,-, - , - , - , - , - , - ,-,723.24,3722800,-,-,-,-,-,-,-,-,-
1968,-,-, - , - , - , - , - , - ,-,714.48,3802700,-,-,-,-,-,-,-,-,-
1969,-,-, - , - , - , - , - , - ,-,825.52,3863900,-,-,-,-,-,-,-,-,-
1970,-,-, - , - , - , - , - , - ,-,960.03,3959000,-,-,-,-,-,-,-,-,-
1971,-,-, - , - , - , - , - , - ,-,1106.47,4045300,-,-,-,-,-,-,-,-,-
1972,-,-, - , - , - , - , - , - ,-,1384.74,4123600,-,-,-,-,-,-,-,-,-
1973,-,-, - , - , - , - , - , - ,-,1893.18,4241600,-,-,-,-,-,-,-,-,-
1974,-,-, - , - , - , - , - , - ,-,2144.61,4377800,-,-,-,-,-,-,-,-,-
1975,-,-, - , - , - , - , - , - ,-,2252.11,4461600,-,-,-,-,-,-,-,-,-
1976,-,-, - , - , - , - , - , - ,-,2850.01,4518000,-,-,-,-,-,-,-,-,-
1977,-,-, - , - , - , - , - , - ,-,3429.42,4583700,-,-,-,-,-,-,-,-,-
